method,region,metric_group,quantity,metric,value,lbfgs_evals,final_total_loss
prior_uniform_collocation,near-cylinder,v1_mode_window_convention,v,corr,0.9302835550571199,34643,0.00029793550493195653
prior_uniform_collocation,near-cylinder,v1_mode_window_convention,v,phase_deg,22.364354193097085,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode_window_convention,v,n,15248,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode_window_convention,v,rel_L2,0.44070619498279645,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode_window_convention,v,amp_ratio,0.8580118281696177,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode_window_convention,v,corr,0.9267508026289287,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode_window_convention,v,phase_deg,14.16648871886656,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode_window_convention,v,n,16393,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode_window_convention,v,rel_L2,0.28969119960103407,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode_window_convention,v,amp_ratio,0.8405636591923411,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode_window_convention,v,corr,0.9750197121464105,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode_window_convention,v,phase_deg,8.137980951573297,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode_window_convention,v,n,12460,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode_window_convention,v,rel_L2,0.28505577663469084,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode_window_convention,v,amp_ratio,0.8387517940246538,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode_window_convention,v,corr,0.9765788676166026,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode_window_convention,v,phase_deg,8.00597546735355,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode_window_convention,v,n,6298,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode_window_convention,v,rel_L2,11.220070420706776,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode_window_convention,v,amp_ratio,11.489159861210807,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode_window_convention,v,corr,0.35065447214748,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode_window_convention,v,phase_deg,-28.05285398575097,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode_window_convention,v,n,51654,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode_window_convention,v,rel_L2,0.3899240721288276,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode_window_convention,v,amp_ratio,0.8647728395492775,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode_window_convention,v,corr,0.9371953098193957,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode_window_convention,v,phase_deg,10.102353702791731,34643,0.00029793550493195653
prior_wake_biased_grid,near-cylinder,field,u,rel_L2,0.054044514894485474,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,field,v,rel_L2,0.07710184901952744,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,field,p,rel_L2,0.01637609302997589,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,field,u,rel_L2,0.35094743967056274,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,field,v,rel_L2,1.0423684120178223,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,field,p,rel_L2,0.9030953645706177,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,field,u,rel_L2,0.7970743179321289,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,field,v,rel_L2,1.1170227527618408,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,field,p,rel_L2,5.268115043640137,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,field,u,rel_L2,0.8379988074302673,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,field,v,rel_L2,0.7684069275856018,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,field,p,rel_L2,4.034470558166504,26129,0.00043780324631370604
prior_wake_biased_grid,other,field,u,rel_L2,0.25685784220695496,26129,0.00043780324631370604
prior_wake_biased_grid,other,field,v,rel_L2,1.1279023885726929,26129,0.00043780324631370604
prior_wake_biased_grid,other,field,p,rel_L2,1.973976731300354,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,field,u,rel_L2,0.5474520325660706,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,field,v,rel_L2,0.9219823479652405,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,field,p,rel_L2,1.2132055759429932,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode,v,n,13715,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode,v,rel_L2,0.4596029594947871,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode,v,amp_ratio,0.7611925592514187,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode,v,corr,0.8987085136706103,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode,v,phase_deg,0.07699006997074256,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode,v,n,15248,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode,v,rel_L2,0.6059411107000253,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode,v,amp_ratio,0.7995230168803952,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode,v,corr,0.817418359902086,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode,v,phase_deg,-13.292289410334623,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode,v,n,16393,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode,v,rel_L2,0.5136868299854808,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode,v,amp_ratio,0.627027485293899,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode,v,corr,0.9278149315854635,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode,v,phase_deg,-13.934669567207408,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode,v,n,12460,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode,v,rel_L2,0.5047257977454529,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode,v,amp_ratio,0.6137520942784017,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode,v,corr,0.9435658631248078,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode,v,phase_deg,-14.38001300625628,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode,v,n,6298,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode,v,rel_L2,29.66090075720592,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode,v,amp_ratio,29.419353225552392,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode,v,corr,0.2282850031673042,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode,v,phase_deg,171.1115391133083,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode,v,n,51654,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode,v,rel_L2,0.7176282077754847,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode,v,amp_ratio,0.8296673715895008,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode,v,corr,0.7273653759519239,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode,v,phase_deg,-13.548113634238796,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode_window_convention,v,n,13715,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode_window_convention,v,rel_L2,0.5186337698034119,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode_window_convention,v,amp_ratio,0.7611925592514187,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode_window_convention,v,corr,0.8987085136706103,26129,0.00043780324631370604
prior_wake_biased_grid,near-cylinder,v1_mode_window_convention,v,phase_deg,16.705959848654118,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode_window_convention,v,n,15248,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode_window_convention,v,rel_L2,0.5782415575114286,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode_window_convention,v,amp_ratio,0.7995230168803952,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode_window_convention,v,corr,0.817418359902086,26129,0.00043780324631370604
prior_wake_biased_grid,near-wake,v1_mode_window_convention,v,phase_deg,3.336680368348766,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode_window_convention,v,n,16393,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode_window_convention,v,rel_L2,0.4805400697700277,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode_window_convention,v,amp_ratio,0.627027485293899,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode_window_convention,v,corr,0.9278149315854635,26129,0.00043780324631370604
prior_wake_biased_grid,far-wake,v1_mode_window_convention,v,phase_deg,2.694300211475934,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode_window_convention,v,n,12460,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode_window_convention,v,rel_L2,0.46835105474406724,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode_window_convention,v,amp_ratio,0.6137520942784017,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode_window_convention,v,corr,0.9435658631248078,26129,0.00043780324631370604
prior_wake_biased_grid,far-core,v1_mode_window_convention,v,phase_deg,2.248956772427107,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode_window_convention,v,n,6298,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode_window_convention,v,rel_L2,29.66155675530612,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode_window_convention,v,amp_ratio,29.419353225552392,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode_window_convention,v,corr,0.2282850031673042,26129,0.00043780324631370604
prior_wake_biased_grid,other,v1_mode_window_convention,v,phase_deg,-172.25949110800832,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode_window_convention,v,n,51654,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode_window_convention,v,rel_L2,0.6950897224041165,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode_window_convention,v,amp_ratio,0.8296673715895008,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode_window_convention,v,corr,0.7273653759519239,26129,0.00043780324631370604
prior_wake_biased_grid,whole-domain,v1_mode_window_convention,v,phase_deg,3.0808561444445672,26129,0.00043780324631370604
