analysis_id,arm_id,section,metric,region,value,unit,reference,value_type,source,status,notes
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.rel_L2,near-cylinder,0.5132904835173822,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.amp_ratio,near-cylinder,0.8003018055450686,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.corr,near-cylinder,0.9302835550571195,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.phase_deg,near-cylinder,22.364354193098066,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.rel_L2,near-wake,0.44070619498280006,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.amp_ratio,near-wake,0.8580118281696182,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.corr,near-wake,0.9267508026289285,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.phase_deg,near-wake,14.166488718867445,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.rel_L2,far-wake,0.2896911996010357,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.amp_ratio,far-wake,0.8405636591923414,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,v1_mode.v.corr,far-wake,0.9750197121464108,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
