noise_sigma,quantity,variable,region,metric,value
-1.0,pod_projection_field,v,whole-domain,relative_L2,0.031105343808326635
-1.0,pod_projection_field,p,whole-domain,relative_L2,0.006070295402598929
-1.0,pod_projection_first_harmonic_v1,v,near-cylinder,relative_L2,3.610003803838315e-07
-1.0,pod_projection_first_harmonic_v1,v,near-cylinder,amplitude_ratio,0.9999999347518801
-1.0,pod_projection_first_harmonic_v1,v,near-cylinder,correlation,0.9999999999999376
-1.0,pod_projection_first_harmonic_v1,v,near-cylinder,phase_deg,6.047771472526255e-08
-1.0,pod_projection_first_harmonic_v1,v,near-wake,relative_L2,8.76015963851759e-06
-1.0,pod_projection_first_harmonic_v1,v,near-wake,amplitude_ratio,0.9999998339148128
-1.0,pod_projection_first_harmonic_v1,v,near-wake,correlation,0.9999999999616437
-1.0,pod_projection_first_harmonic_v1,v,near-wake,phase_deg,-1.2421496882672533e-06
-1.0,pod_projection_first_harmonic_v1,v,far-wake,relative_L2,2.1412628705116977e-05
-1.0,pod_projection_first_harmonic_v1,v,far-wake,amplitude_ratio,1.000000169186404
-1.0,pod_projection_first_harmonic_v1,v,far-wake,correlation,0.9999999997707664
-1.0,pod_projection_first_harmonic_v1,v,far-wake,phase_deg,-4.521291229804482e-06
-1.0,pod_projection_first_harmonic_v1,v,far-core,relative_L2,2.151098582352957e-05
-1.0,pod_projection_first_harmonic_v1,v,far-core,amplitude_ratio,1.0000001752561412
-1.0,pod_projection_first_harmonic_v1,v,far-core,correlation,0.9999999997686574
-1.0,pod_projection_first_harmonic_v1,v,far-core,phase_deg,-4.690159387567108e-06
-1.0,pod_projection_first_harmonic_v1,v,other,relative_L2,1.687611019282448e-07
-1.0,pod_projection_first_harmonic_v1,v,other,amplitude_ratio,0.9999998887952521
-1.0,pod_projection_first_harmonic_v1,v,other,correlation,0.999999999999993
-1.0,pod_projection_first_harmonic_v1,v,other,phase_deg,1.6407826213602e-06
-1.0,pod_projection_first_harmonic_v1,v,whole-domain,relative_L2,1.8249589507925027e-05
-1.0,pod_projection_first_harmonic_v1,v,whole-domain,amplitude_ratio,1.000000060984196
-1.0,pod_projection_first_harmonic_v1,v,whole-domain,correlation,0.9999999998334794
-1.0,pod_projection_first_harmonic_v1,v,whole-domain,phase_deg,-3.4357019566499876e-06
