arm,tag,config,recovers,worse_than_zero,amp_near_cylinder,relL2_near_cylinder,corr_near_cylinder,amp_near_wake,relL2_near_wake,corr_near_wake,amp_far_wake,relL2_far_wake,corr_far_wake,amp_far_core,relL2_far_core,corr_far_core,amp_whole_domain,relL2_whole_domain,corr_whole_domain,ns_whole_uniform,ns_far_core,ns_formation_wake,ns_near_cylinder,Eu_whole,Ev_whole,Ep_whole,Eu_nearwake,Ev_nearwake,Ep_nearwake,Eu_farwake,Ev_farwake,Ep_farwake,prior_alone_amp_far_core,PressureOnly,SparseData,NTaps,Noise,Prior,BVF,sampler,FreestreamBC,FluctInletBC,SkipAdam,Nmodes,Seed,Tmax,Nint,Nmes,total_loss,physics_loss,pressure_tap_loss,lbfgs_it,lbfgs_nf,LBFGSMaxit,cap_hit,term,lbfgs_s,adam_s,wall_h,run_dir,folder,regime
12,prior_noise_05pct,32 taps + prior + noise 2.4e-03,True,False,0.6579343872314736,0.6449574183477229,0.7769488137896828,0.9266840982447104,0.3517877662684632,0.9363587391816177,0.8759047684454493,0.26762849317359366,0.9764000701060336,0.8757065957286639,0.2624876744986907,0.9775554964502541,0.9035952822636175,0.3387875940936552,0.9449116007800513,0.002457355396978986,0.0013237641312397817,0.003828419287803286,0.008314869853685704,0.1487510082073039,0.38036887493003735,0.30331418578577046,0.15660454006627864,0.5128581606716318,0.3534603140721092,0.17742043234842023,0.41797341636140684,1.1285870879582416,0.8082260065535708,True,True,32,0.0023633,True,False,uniform,True,False,False,4,0,9.0,50000,5000,0.0011144854361191392,0.0010977806523442268,1.6704814697732218e-05,11004,12047,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,10352.0,21328.0,9.013416666666666,/content/run_prior_noise_05pct/OutputPythonScript/ModalPINN_2026_08_25-10_26_26__153_Ponly_Ntap32_FSBC_V1RAD_rho0p6_x3p0,12_prior_noise_05pct,recovered
13,prior_noise_10pct,32 taps + prior + noise 4.7e-03,True,False,0.5842250217027004,0.7300211749208816,0.7122854251935934,0.8703991013912324,0.3734798301934781,0.9338910130649555,0.8581488113237549,0.29010603054064593,0.9748271903743803,0.8576072294552405,0.28441772462034587,0.9762484071550258,0.8698022959680585,0.35128859492771447,0.9416441808980124,0.0027887614568193617,0.0020882678130292667,0.005212107663525058,0.018138901123339195,0.14260400489916833,0.3672433899556637,0.2745452553820751,0.15666058444023273,0.5324442042046289,0.35618880746625103,0.16219291330154037,0.3795954072914761,0.8997647436611217,0.8082260065535708,True,True,32,0.0047265,True,False,uniform,True,False,False,4,0,9.0,50000,5000,0.0018255735049024224,0.0017659022705629468,5.967126344330609e-05,2963,3156,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,2823.0,28881.0,9.016277777777777,/content/run_prior_noise_10pct/OutputPythonScript/ModalPINN_2026_08_25-12_53_23__416_Ponly_Ntap32_FSBC_V1RAD_rho0p6_x3p0,13_prior_noise_10pct,recovered
14,bvf_no_fluct_inlet,32 taps + BVF,False,False,0.2725793052666648,0.8605913136387858,0.7819713972022572,0.15010596085171127,1.0172523632841866,0.3260666642818452,0.0641272699323762,0.9989002063131565,0.06353412555093085,0.05702124457177834,0.9982885191744727,0.06858192833779035,0.10654563028076919,1.0034006012254495,0.14629753240130225,,,,,0.3109217164497294,0.8535738968969813,0.40456090304488423,0.22248765081888333,1.0073332167062319,0.45641474106233465,0.41285973843164786,1.0301457062274764,1.5796354410521714,,True,True,32,0.0,False,True,uniform,True,False,False,4,0,9.0,50000,5000,0.0115263182669878,0.009157228283584118,0.00033755548065528274,1084,1162,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1062.0,30903.0,9.007138888888889,/content/run_bvf_no_fluct_inlet/OutputPythonScript/ModalPINN_2026_08_25-11_22_00__240_Ponly_Ntap32_FSBC_BVF_lam0p1,14_bvf_no_fluct_inlet,collapsed
15,karman_prior_fluct_off,32 taps + prior,True,False,0.8002917276988926,0.513285251254412,0.9302911828899403,0.8580117636080115,0.44070609598843374,0.9267508629757244,0.840563651671541,0.2896912047980077,0.9750196673940243,0.8387517762993568,0.2850557860596652,0.9765788293958234,0.8593497034421489,0.37797550557230397,0.9430154093849087,0.009554905821078406,0.0004032288807253812,0.0012338640280890362,0.003458872679629909,0.16075779130345239,0.38841355368695246,0.3767043128492731,0.16433611421917918,0.48527830111846604,0.30670970708547773,0.18780861051304826,0.4490880460916732,1.5653534324548377,0.8082260065535708,True,True,32,0.0,True,False,uniform,True,False,False,4,0,9.0,50000,5000,0.00029793550493195653,0.0002928291214630008,5.106393018650124e-06,32442,34643,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,30220.0,1356.0,9.013777777777777,/content/run_prior_no_fluct_inlet/OutputPythonScript/ModalPINN_2026_08_25-00_15_20__155_Ponly_Ntap32_FSBC_V1RAD_rho0p6_x3p0,15_karman_prior_fluct_off,recovered
16,prior_no_inlet_bc_no_adam,32 taps + prior (no FSBC) (no Adam),True,False,0.8030177368309597,0.59621015074217,0.8074079622018561,0.9870134875029831,0.43787994833910326,0.9239957759445083,0.8278433459036418,0.27202945227970887,0.9733377493848299,0.8266748566545419,0.2682971869333129,0.9747019844243433,0.886108286387443,0.3525401848706996,0.9389042666475789,0.06398195062893608,0.0012749826513795274,0.004762860403236965,0.2677637020912119,0.314936161359268,0.5290425349169713,0.7195473683707114,0.3475050733653995,0.7743608266412586,0.5144241969277665,0.1765714335588013,0.43874047324011317,3.2872542946981924,0.8082260065535708,True,True,32,0.0,True,False,uniform,False,False,True,4,0,9.0,50000,5000,0.001015779678709805,0.0009973797714337707,1.839993456087541e-05,11408,12516,50000,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11625.0,,3.4584444444444444,/content/run_prior_paper_bcs_noadam/OutputPythonScript/ModalPINN_2026_08_24-18_25_05__681_Ponly_Ntap32_V1RAD_rho0p6_x3p0,16_prior_no_inlet_bc_no_adam,recovered
