geometry,rho,cap,zero_reachable_frac,truth_reachable_frac,mean_floor_over_mean_truth,median_floor_over_median_truth
square,0.45,0.02,0.03468477464882498,0.957259836229279,0.32153546562234103,0.3487306356012714
square,0.45,0.03,0.08614606217961521,0.9701085147460222,0.29181769796185847,0.3120915901708269
square,0.45,0.05,0.1806138073363957,0.985753278743093,0.23778562294223868,0.24048179040830178
square,0.45,0.08,0.29498701817455564,0.9971373410558552,0.167878776881078,0.14268507324290228
square,0.45,0.12,0.46022235536914985,1.0,0.09252915332166474,0.023342646535150387
square,0.6,0.0,0.0,0.9259703082351375,0.25235721347196505,0.23801901795024186
square,0.6,0.01,0.02063777378336995,0.9930763597629985,0.22166331393116395,0.20818153016074195
square,0.6,0.02,0.09633180214366553,0.9968044737367685,0.19295604298102603,0.1784446143352616
square,0.6,0.03,0.1698289061979895,1.0,0.16679640315689584,0.14870769850978124
square,0.6,0.05,0.30683709473403903,1.0,0.1211600803079612,0.08923386685882069
square,0.6,0.08,0.499900139804274,1.0,0.06806785527360326,2.3119382379634016e-05
square,0.6,0.12,0.713800679049331,1.0,0.02137815208325317,0.0
square,0.8,0.0,0.1763531056520871,0.9968044737367685,0.0914765461937135,0.07127588149393074
square,0.8,0.01,0.3239464749350909,1.0,0.06899218919787305,0.04153896566844919
square,0.8,0.02,0.4568271087144664,1.0,0.05092982051984993,0.011802049842967597
square,0.8,0.03,0.5592170960655083,1.0,0.03631056904868235,0.0
square,0.8,0.05,0.7206577458225152,1.0,0.0149860581378405,0.0
square,0.8,0.08,0.9679781639038679,1.0,0.00022339049253087415,0.0
square,0.8,0.12,1.0,1.0,0.0,0.0
radial,0.1,0.0,0.0,0.018241129085946342,0.7445421507200284,0.870775693727934
radial,0.1,0.01,0.0,0.028560015977631317,0.71471418179058,0.8410387779024524
radial,0.1,0.02,0.0,0.04427135343851941,0.6848862128611318,0.8113018620769709
radial,0.1,0.03,0.007123360628453498,0.13134944411157712,0.6551168448137216,0.7815649462514892
radial,0.1,0.05,0.054789960721656344,0.4760668397576726,0.5972021350917432,0.7220911146005262
radial,0.1,0.08,0.12988482790759603,0.7785766593435857,0.5160859202429307,0.6328803671240815
radial,0.1,0.12,0.21370081885360495,0.8536715265295254,0.4174651656598237,0.5139327038221553
radial,0.2,0.0,0.0,0.15604819918780374,0.6618152450844698,0.7740228388692747
radial,0.2,0.01,0.0,0.2209573264096931,0.6319872761550214,0.744285923043793
radial,0.2,0.02,0.0,0.2961187670594501,0.602159307225573,0.7145490072183115
radial,0.2,0.03,0.013980427401637708,0.4434458424871846,0.5724872410836012,0.68481209139283
radial,0.2,0.05,0.07183276745889089,0.7892284135543572,0.515321347917995,0.6253382597418669
radial,0.2,0.08,0.15291924638838958,0.849876839091938,0.43598058887655866,0.5361275122654221
radial,0.2,0.12,0.24033020438053393,0.9339591238932161,0.3403444030364058,0.4171798489634959
radial,0.25,0.0,0.0,0.2621663005126157,0.6204517922666903,0.725646411439945
radial,0.25,0.01,0.0,0.3189534651487917,0.590623823337242,0.6959094956144634
radial,0.25,0.02,0.0005991611743559018,0.40829505359163837,0.5607966601438741,0.6661725797889818
radial,0.25,0.03,0.01904001065175421,0.6018906863724119,0.5312056666211635,0.6364356639635003
radial,0.25,0.05,0.08188536049530656,0.8282404633513082,0.4745102750949562,0.5769618323125372
radial,0.25,0.08,0.16570135144131548,0.8925504293988417,0.3961926847825208,0.4877510848360924
radial,0.25,0.12,0.25590839491378736,0.9628520071899341,0.3022544743219598,0.36880342153416623
radial,0.3,0.0,0.0,0.3491778177218561,0.579088339448911,0.6772699840106153
radial,0.3,0.01,0.0,0.40709673124292656,0.5492603705194629,0.6475330681851338
radial,0.3,0.02,0.0016643365954330605,0.5339857532787431,0.5194370496338531,0.6177961523596521
radial,0.3,0.03,0.024632181612409293,0.8181878703148925,0.48995618419282283,0.5880592365341706
radial,0.3,0.05,0.09286998202516476,0.8683842620331536,0.4338022072924151,0.5285854048832075
radial,0.3,0.08,0.1802809400173091,0.9316290526596098,0.3566223010561573,0.43937465740676274
radial,0.3,0.12,0.2743492443911857,0.9794287996804474,0.26456444162346626,0.32042699410483655
radial,0.4,0.0,0.0,0.5186738566007589,0.4963614338133522,0.580517129151956
radial,0.4,0.01,0.0,0.605818520737634,0.46653346488390396,0.5507802133264744
radial,0.4,0.02,0.007123360628453498,0.8874242726849078,0.4367445632091477,0.5210432975009929
radial,0.4,0.03,0.04134212103055722,0.9084614872511817,0.40760078931465404,0.49130638167551133
radial,0.4,0.05,0.11796817788429532,0.947140669729046,0.35276794953286617,0.4318325500245482
radial,0.4,0.08,0.21370081885360495,0.9792290792889954,0.2783101104398825,0.3426218025481034
radial,0.4,0.12,0.3189534651487917,0.996471606417682,0.19080379786808957,0.22367413924617724
radial,0.45,0.0,0.0,0.6164037014845882,0.4549979809955729,0.5321407017226263
radial,0.45,0.01,0.0,0.7412955196058851,0.4251700120661246,0.5024037858971447
radial,0.45,0.02,0.012249517342387325,0.9278343652220225,0.39542507053022663,0.47266687007166325
radial,0.45,0.03,0.05212702216896345,0.9459423473803342,0.36652562790169074,0.44292995424618165
radial,0.45,0.05,0.13421210305572198,0.9712402636309168,0.312509451658743,0.38345612259521855
radial,0.45,0.08,0.23347313760734972,0.9898142600359496,0.23967734793824927,0.29424537511877374
radial,0.45,0.12,0.34591571799480725,0.9999334265361827,0.15499375449866318,0.17529771181684756
radial,0.6,0.0,0.0,0.8661207642633646,0.3309076225422349,0.38701141943463735
radial,0.6,0.01,0.0,0.984288662539112,0.3010796536127866,0.35727450360915575
radial,0.6,0.02,0.04134212103055722,0.9892816723254111,0.2717338595431028,0.32753758778367426
radial,0.6,0.03,0.1003927834365222,0.9931429332268158,0.24403656496417336,0.29780067195819265
radial,0.6,0.05,0.19945409759669797,0.9984688103322016,0.19342814977462938,0.23832684030722953
radial,0.6,0.08,0.3189534651487917,1.0,0.12720253191205974,0.14911609283078478
radial,0.6,0.12,0.4642167631981892,1.0,0.05473398920637997,0.030168429528858568
radial,0.8,0.0,0.0,0.9948738432860662,0.16545381127111738,0.19350570971731867
radial,0.8,0.01,0.04134212103055722,1.0,0.1358669297715513,0.16376879389183707
radial,0.8,0.02,0.15291924638838958,1.0,0.10899514721913962,0.13403187806635547
radial,0.8,0.03,0.24033020438053393,1.0,0.0850861007591014,0.1042949622408739
radial,0.8,0.05,0.3929831569136542,1.0,0.044396722681773984,0.04482113058991088
radial,0.8,0.08,0.8139937420944011,1.0,0.0014406246044469976,0.0
radial,0.8,0.12,1.0,1.0,0.0,0.0
